tattoo_id,title,image,tags,color,primary_style,style,suggested_placement,available_to_ink,available_to_ar,mature_content,status,liked_by_current_user,author_id,author_username,author_display_name,author_profile_picture
48791,Neo-Tribal element,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/corvus_ntc-20.png,"chrome, y2k, element",Black,Fine Line,"Blackwork, Neo-Tribal",,1,1,,1,0,222,corvus_ntc,Corvus_ntc,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/corvus_ntc_0.jpeg
49267,Laying on the armchair,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/tatts_n_tonic-21.png,"armchair, cute","Pink, Black",Abstract,"Minimalist, Color",,1,1,,1,0,240,tatts_n_tonic,tatts_n_tonic,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/tatts_n_tonic_0.jpeg
68902,Fairy Lady Head #1,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/frankiefasthands_ttt-36.png,"fairy, lady, woman, head, borneo, hair, sparkles","Red, Multicolor",Old School (Traditional),Color,,1,1,,1,0,346,frankiefasthands_ttt,Frankiefasthands.ttt,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/frankiefasthands_ttt_0.jpeg
2318,Happy thoughts,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/hunni-7_0.png,"cute, girl, creepy, choker, spikes, smiley","Black, Pink",Illustrative,Blackwork,,0,1,,1,0,139,hunni,HUNNI,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/hunni_0.jpeg
48711,Dilated pupil,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/salvi_denning-24.png,"eyes, three, stare, pupils",Black,Handpoke,"Realism, Blackwork, Dotwork",,0,1,,1,0,217,salvi_denning,Salvi Denning,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/salvi_denning_0.jpeg
66025,Romantic Greek Island View,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/dane_tattooer-16.png,"romantic, greek, island, view, scenery, chairs, summer, vacations",Black,Old School (Traditional),Blackwork,,1,1,,1,0,341,dane_tattooer,Dane tattooer,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/dane_tattooer_0.jpeg
49208,Hyottoko ,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/fontas_cast-23.png,"hyottoko, japanese, head, scarf, polkadot, funny","Blue, Red, Multicolor",Japanese Traditional,Color,,0,1,,1,0,238,fontas_cast,Fontas Cast,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/fontas_cast_0.jpeg
71041,Leopard Attitude,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/goki-36.png,"leopard, animal, spikes, majestic, wild, animalprint, punk","Gold, Black",Old School (Traditional),Color,,1,1,,1,0,345,goki,Goki,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/goki_0.jpeg
49461,Cute stars and sparkles,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/hunni-32.png,"stars, sparkles, cute, round",Black,Illustrative,Blackwork,,1,1,,1,0,139,hunni,HUNNI,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/hunni_0.jpeg
50527,Jelly worms,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/anna_blue-28_0.png,"jelly, worm, snack, sweet, nostalgia",Multicolor,Neo-Traditional,"Color, Illustrative",,1,1,,1,0,255,anna_blue,Anna Blue,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/anna_blue_0.jpeg
50496,Flying skull,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/stef_tattoo-21_0.png,"skull, wings, bones, death, eagle","Red, Multicolor",Old School (Traditional),Color,,1,1,,1,0,254,stef_tattoo,Stef tattoo,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/stef_tattoo_0.jpeg
66012,Glove And Flower Picture,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/dane_tattooer-3.png,"glove, hand, picture, flower, retro",Black,Old School (Traditional),Blackwork,,1,1,,1,0,341,dane_tattooer,Dane tattooer,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/dane_tattooer_0.jpeg
74095,Ram-horned Male Statue,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/600x600/public/2025-10/confess-3.png,"statue, greek, horns, male, ram, ancient, beast, aries",Black,Realism,Black & Gray,Thigh,1,1,,1,0,359,confess,Confess,http://inkjinapi.mp8dev.reea.net/sites/default/files/styles/thumbnail/public/2025-08/confess_0.jpeg
